Model,METR-LA ZS,METR-LA FS (5%),METR-LA Gain (5%),METR-LA FS (10%),METR-LA Gain (10%),PEMS03 ZS,PEMS03 FS (5%),PEMS03 Gain (5%),PEMS03 FS (10%),PEMS03 Gain (10%),PEMS04 ZS,PEMS04 FS (5%),PEMS04 Gain (5%),PEMS04 FS (10%),PEMS04 Gain (10%),PEMS07 ZS,PEMS07 FS (5%),PEMS07 Gain (5%),PEMS07 FS (10%),PEMS07 Gain (10%),PEMS08 ZS,PEMS08 FS (5%),PEMS08 Gain (5%),PEMS08 FS (10%),PEMS08 Gain (10%),PEMS-BAY ZS,PEMS-BAY FS (5%),PEMS-BAY Gain (5%),PEMS-BAY FS (10%),PEMS-BAY Gain (10%),Avg ZS,Avg FS (5%),Avg Gain (5%),Avg FS (10%),Avg Gain (10%)
DPM-SR,7.424457141052085,5.4597411430691665,1.9647159979829185,5.4247527920948535,1.9997043489572315,22.32889484811523,20.9546745980863,1.3742202500289302,20.579605344243657,1.749289503871573,28.26490739171539,26.29280490106881,1.9721024906465807,26.157218519545278,2.1076888721701117,31.950710272212454,29.775306308252542,2.175403963959912,29.597452489275003,2.353257782937451,23.31061399412585,21.41207601787808,1.8985379762477699,21.356477447458214,1.954136546667634,2.478254934579569,2.0763131005776834,0.40194183400188566,2.029261722187186,0.448993212392383,19.29297309696676,17.661819344822096,1.631153752144666,17.524128052467365,1.768845044499397
DPM-SR++,7.222599503307208,5.611687245776558,1.61091225753065,5.775704013938368,1.4468954893688402,22.751210336115605,21.30559471956986,1.4456156165457443,20.90756923973469,1.8436410963809138,28.032053228803157,26.949277117354043,1.082776111449114,26.735523456645804,1.2965297721573528,31.438010088240947,30.237337694398708,1.2006723938422397,30.09456847639884,1.3434416118421062,22.263851187250637,21.408976327191603,0.8548748600590343,21.386014065226995,0.8778371220236423,2.5333679658371517,2.1129539187920265,0.4204140470451252,2.0869304823655517,0.44643748347160006,19.040182051592453,17.937637837180468,1.1025442144119846,17.831051622385036,1.2091304292074092
DPM-SR++-ZED,6.591013105607982,,,,,23.23780253470218,,,,,27.793272156286015,,,,,31.338600233303193,,,,,22.166642693785935,,,,,2.4371779436885532,,,,,18.927418111228977,,,,
