Model,METR-LA_BasicTS ZS,METR-LA_BasicTS FS,METR-LA_BasicTS Gain,PEMS03_BasicTS ZS,PEMS03_BasicTS FS,PEMS03_BasicTS Gain,PEMS04_BasicTS ZS,PEMS04_BasicTS FS,PEMS04_BasicTS Gain,PEMS07_BasicTS ZS,PEMS07_BasicTS FS,PEMS07_BasicTS Gain,PEMS08_BasicTS ZS,PEMS08_BasicTS FS,PEMS08_BasicTS Gain,PEMS-BAY_BasicTS ZS,PEMS-BAY_BasicTS FS,PEMS-BAY_BasicTS Gain,Avg ZS,Avg FS,Avg Gain
OpenCity,7.336153574514724,5.7420468878969375,1.5941066866177867,29.161298322458546,22.954310426668222,6.2069878957903235,36.782860902813376,29.99701100164115,6.785849901172224,35.62455668388356,31.641470295945407,3.9830863879381546,31.357396091426814,24.629138568500142,6.728257522926672,3.172577221882884,2.322205218876627,0.8503720030062571,23.90580713282998,19.547697066588082,4.3581100662419034
FactoST,212.91973106866698,5.483194830964823,207.43653623770214,1968.7779671872008,19.24887122932656,1949.5290959578742,2081.6441528898845,24.791508098349187,2056.852644791535,2570.545159243588,28.534870264370785,2542.010288979217,1902.3083141430004,21.12208621995943,1881.186227923041,73.45929400175008,2.0175801840862064,71.44171381766387,1468.2757697556817,16.866351804509495,1451.4094179511721
UniST-lite,7.288363280703926,5.894256985299202,1.3941062954047245,23.83824587379444,21.00083336165634,2.8374125121380978,29.452436060702066,27.016592852877213,2.4358432078248526,34.24718599061708,29.43154408412841,4.815641906488672,24.404659262648575,21.844620719686286,2.560038542962289,2.6546044230094603,2.2266476695396458,0.42795675346981454,20.31424914857926,17.902415945531185,2.4118332030480754
DPM-SR,7.424457141052085,5.4247527920948535,1.9997043489572315,22.32889484811523,20.579605344243657,1.749289503871573,28.26490739171539,26.157218519545278,2.1076888721701117,31.950710272212454,29.597452489275003,2.353257782937451,23.31061399412585,21.356477447458214,1.954136546667634,2.478254934579569,2.029261722187186,0.448993212392383,19.29297309696676,17.524128052467365,1.768845044499397
DPM-SR++,7.222599503307208,5.775704013938368,1.4468954893688402,22.751210336115605,20.90756923973469,1.8436410963809138,28.032053228803157,26.735523456645804,1.2965297721573528,31.438010088240947,30.09456847639884,1.3434416118421062,22.263851187250637,21.386014065226995,0.8778371220236423,2.5333679658371517,2.0869304823655517,0.44643748347160006,19.040182051592453,17.831051622385036,1.2091304292074092
