Model,METR-LA_BasicTS ZS,METR-LA_BasicTS FS,METR-LA_BasicTS Gain,PEMS03_BasicTS ZS,PEMS03_BasicTS FS,PEMS03_BasicTS Gain,PEMS04_BasicTS ZS,PEMS04_BasicTS FS,PEMS04_BasicTS Gain,PEMS07_BasicTS ZS,PEMS07_BasicTS FS,PEMS07_BasicTS Gain,PEMS08_BasicTS ZS,PEMS08_BasicTS FS,PEMS08_BasicTS Gain,PEMS-BAY_BasicTS ZS,PEMS-BAY_BasicTS FS,PEMS-BAY_BasicTS Gain,Avg ZS,Avg FS,Avg Gain
DPM-STFM,7.185980724646281,5.462623699068744,1.7233570255775366,23.945526673636795,20.410804535309353,3.5347221383274423,29.800350345141513,25.67827303149689,4.122077313644624,34.95314286070562,29.585391684921504,5.3677511757841145,24.978581400604934,20.45339666400944,4.525184736595495,2.3791498682940584,2.052137114972357,0.3270127533217013,20.540455312171535,17.273771121629714,3.2666841905418185
OpenCity,7.336153574514724,5.7420468878969375,1.5941066866177867,29.161298322458546,22.954310426668222,6.2069878957903235,36.782860902813376,29.99701100164115,6.785849901172224,35.62455668388356,31.641470295945407,3.9830863879381546,31.357396091426814,24.629138568500142,6.728257522926672,3.172577221882884,2.322205218876627,0.8503720030062571,23.90580713282998,19.547697066588082,4.3581100662419034
FactoST,17.230509256590725,5.619077621494579,11.611431635096146,119.82959237909245,19.608928050965662,100.22066432812679,131.17481238921107,25.104620774210346,106.07019161500072,158.48283921264823,29.046354517658607,129.43648469498962,123.110975643536,21.966183136175346,101.14479250736065,6.006532531623928,2.077106972046763,3.9294255595771648,92.63921023545039,17.237045178758553,75.40216505669186
UniST,7.494592849208823,5.61055569500778,1.8840371542010432,25.619115439527434,19.164703743746234,6.4544116957812,31.220464622804904,26.73302447287392,4.487440149930983,35.12168778599919,27.932814687617643,7.188873098381549,25.1626239102166,21.035346860284204,4.127277049932395,2.6551232883602176,2.131829192050139,0.5232940963100785,21.212267982686193,17.101379108596653,4.110888874089541
