Model,METR-LA_BasicTS ZS,METR-LA_BasicTS FS,METR-LA_BasicTS Gain,PEMS03_BasicTS ZS,PEMS03_BasicTS FS,PEMS03_BasicTS Gain,PEMS04_BasicTS ZS,PEMS04_BasicTS FS,PEMS04_BasicTS Gain,PEMS07_BasicTS ZS,PEMS07_BasicTS FS,PEMS07_BasicTS Gain,PEMS08_BasicTS ZS,PEMS08_BasicTS FS,PEMS08_BasicTS Gain,PEMS-BAY_BasicTS ZS,PEMS-BAY_BasicTS FS,PEMS-BAY_BasicTS Gain,Avg ZS,Avg FS,Avg Gain
DPM-STFM,8.595251220450747,5.694878042442179,2.900373178008568,24.17429168666121,20.828409711215617,3.345881975445593,30.405299805916883,26.237239782279136,4.1680600236377465,36.24303963852471,30.275834548863376,5.967205089661338,25.494945197492033,21.021802962363303,4.47314223512873,2.9182372394659994,2.1065704454191825,0.811666794046817,21.305177464751928,17.694122582097133,3.611054882654799
OpenCity,7.396784672134095,5.834555093382225,1.5622295787518699,28.639957299458853,23.671879892509892,4.968077406948961,36.31464448811319,30.61219973812736,5.70244474998583,39.094980204597135,32.45260912188426,6.642371082712877,31.038821551176877,25.267493116963017,5.77132843421386,2.9700816626918947,2.3260092904345977,0.644072372257297,24.24254497969534,20.027457708883556,4.215087270811783
FactoST,16.9810212244753,5.770199088078751,11.210822136396548,121.03784717133362,19.991973711191967,101.04587346014165,131.70342133508476,25.439248678243555,106.2641726568412,159.9087427500132,29.51788917476388,130.3908535752493,123.34079278481973,21.770359725565523,101.5704330592542,5.795256801974673,2.08733934672588,3.7079174552487926,93.12784701128355,17.429501620761595,75.69834539052194
UniST,16.791131667845143,5.622902302468409,11.168229365376733,120.37096380493725,24.582600304397655,95.78836350053959,130.61258657735672,30.618789469461305,99.99379710789542,158.73967703850477,34.48297006002022,124.25670697848454,122.22013423679111,25.062764689729022,97.15736954706209,5.737397184745794,2.2391127556860217,3.4982844290597725,92.41198175169679,20.43485659696044,71.97712515473636
